Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,74.858,77.102,73.81,77.102,14020
2017-01-03,77.8,77.9,76.503,76.503,2055
2017-01-04,76.603,76.703,75.606,75.606,2971
2017-01-05,75.705,75.805,73.312,73.511,19547
2017-01-09,73.79,75.197,72.414,72.813,14825
2017-01-10,72.813,75.705,72.813,73.411,93285
2017-01-11,73.411,74.808,73.411,74.618,3876
2017-01-12,74.618,74.618,74.199,74.199,927
2017-01-13,73.81,74.07,72.813,74.07,20616
2017-01-16,74.07,74.608,73.411,74.608,2568
2017-01-17,74.558,75.795,73.87,75.486,2552
2017-01-18,75.606,76.803,75.027,76.473,7508
2017-01-19,76.404,76.404,75.456,75.805,17281
2017-01-20,76.104,76.603,75.306,76.533,12876
2017-01-23,77.202,77.202,75.915,76.902,5484
2017-01-24,76.603,77.202,76.603,76.703,13639
2017-01-25,78.997,82.578,78.997,80.992,20593
2017-01-26,84.583,85.779,82.588,83.785,17243
2017-01-27,81.889,83.086,81.062,81.371,5751
2017-01-30,81.281,82.787,81.062,82.787,4636
2017-01-31,82.787,84.573,81.301,82.787,11637
2017-02-01,82.797,83.635,81.86,82.777,7932
2017-02-02,82.687,82.737,81.54,82.079,2421
2017-02-03,82.987,82.987,80.992,81.291,3901
2017-02-06,81.75,83.475,81.291,81.291,3566
2017-02-07,81.491,81.491,78.957,79.845,5071
2017-02-08,79.765,81.281,78.897,81.281,4911
2017-02-09,81.281,84.952,80.124,83.785,8658
2017-02-10,83.785,84.283,83.386,83.685,1321
2017-02-13,83.785,83.785,82.777,82.787,1546
2017-02-14,82.787,82.787,81.341,81.78,2057
2017-02-15,82.039,82.189,81.301,81.87,2672
2017-02-16,82.877,82.987,79.725,81.78,10659
2017-02-17,82.388,82.388,80.792,80.792,4819
2017-02-20,81.092,83.785,79.964,80.982,18356
2017-02-21,80.792,81.131,80.024,80.992,8408
2017-02-22,80.982,82.288,80.792,82.288,2884
2017-02-23,83.785,83.785,82.398,83.685,2255
2017-02-24,83.775,84.383,82.388,84.383,3470
2017-02-27,83.685,84.383,82.169,83.066,4584
2017-02-28,82.288,83.785,82.288,83.785,3595
2017-03-01,83.685,83.685,83.346,83.685,5695
2017-03-02,83.695,85.779,82.797,85.171,6031
2017-03-03,84.383,85.281,83.805,85.231,2725
2017-03-06,85.271,85.271,83.834,84.423,707
2017-03-07,84.263,84.383,82.298,82.787,15403
2017-03-08,82.787,83.086,80.812,81.181,14775
2017-03-09,81.062,81.062,77.93,78.827,6027
2017-03-10,78.847,83.785,78.847,81.151,5952
2017-03-13,83.775,84.283,82.029,83.585,20527
2017-03-14,84.692,84.692,83.037,83.705,21007
2017-03-15,83.705,84.573,82.807,83.276,21202
2017-03-16,83.286,83.286,83.086,83.286,3212
2017-03-17,83.286,83.286,83.166,83.206,9920
2017-03-20,83.755,84.573,82.787,82.787,50197
2017-03-21,83.286,83.286,80.314,81.79,25528
2017-03-22,81.79,81.79,79.845,81.291,4856
2017-03-23,81.79,81.79,80.314,81.291,5464
2017-03-24,80.792,81.291,79.785,80.772,1978
2017-03-27,78.807,79.595,78.807,79.396,1973
2017-03-28,79.396,81.65,79.396,79.496,1775
2017-03-29,79.795,81.54,79.795,80.543,3451
2017-03-30,79.795,81.082,79.795,80.792,9138
2017-03-31,79.845,82.139,79.845,81.84,2114
2017-04-03,81.57,81.8,80.752,81.8,945
2017-04-04,79.964,81.231,79.007,79.795,2534
2017-04-05,79.805,82.139,79.805,80.792,4662
2017-04-06,80.523,81.331,80.294,80.792,1007
2017-04-07,81.181,81.79,80.363,81.79,3507
2017-04-10,80.792,81.59,79.097,79.097,3509
2017-04-11,79.107,80.992,77.591,77.591,3160
2017-04-12,77.78,79.286,77.78,78.259,4670
2017-04-13,78.289,79.585,78.289,79.585,1048
2017-04-18,78.448,79.486,78.448,79.286,1598
2017-04-19,78.289,79.236,77.93,78.289,8366
2017-04-20,78.249,79.745,77.81,79.745,3364
2017-04-21,79.795,83.575,79.795,81.76,30718
2017-04-24,83.416,83.416,81.989,82.787,3108
2017-04-25,81.291,81.79,76.104,81.79,231416
2017-04-26,81.79,81.79,78.129,78.777,16210
2017-04-27,78.997,80.782,78.408,79.097,38783
