Data	Otwarcie	Najwyzszy	Najnizszy	Srednia	Zamkniecie	Wolumen	Srednia_por
2017-01-02	74.858	77.102	73.81	75.456	77.102	14020	75.456
2017-01-03	77.8	77.9	76.503	77.20150000000001	76.503	2055	77.20150000000001
2017-01-04	76.60300000000001	76.703	75.60600000000001	76.15450000000001	75.60600000000001	2971	76.15450000000001
2017-01-05	75.705	75.805	73.312	74.55850000000001	73.51100000000001	19547	74.55850000000001
2017-01-09	73.79	75.197	72.414	73.8055	72.813	14825	73.8055
2017-01-10	72.813	75.705	72.813	74.259	73.411	93285	74.259
2017-01-11	73.411	74.808	73.411	74.1095	74.618	3876	74.1095
2017-01-12	74.618	74.618	74.199	74.4085	74.199	927	74.4085
2017-01-13	73.81	74.07	72.813	73.44149999999999	74.07	20616	73.44149999999999
2017-01-16	74.07	74.608	73.411	74.0095	74.608	2568	74.0095
2017-01-17	74.558	75.795	73.87	74.83250000000001	75.486	2552	74.83250000000001
2017-01-18	75.60600000000001	76.803	75.027	75.91499999999999	76.473	7508	75.91499999999999
2017-01-19	76.404	76.404	75.456	75.93	75.805	17281	75.93
2017-01-20	76.104	76.60300000000001	75.306	75.9545	76.533	12876	75.9545
2017-01-23	77.202	77.202	75.915	76.55850000000001	76.902	5484	76.55850000000001
2017-01-24	76.60300000000001	77.202	76.60300000000001	76.9025	76.703	13639	76.9025
2017-01-25	78.997	82.57799999999999	78.997	80.7875	80.992	20593	80.7875
2017-01-26	84.583	85.779	82.588	84.1835	83.785	17243	84.1835
2017-01-27	81.889	83.086	81.062	82.074	81.37100000000001	5751	82.074
2017-01-30	81.281	82.787	81.062	81.9245	82.787	4636	81.9245
2017-01-31	82.787	84.573	81.301	82.937	82.787	11637	82.937
2017-02-01	82.79700000000001	83.635	81.86	82.7475	82.777	7932	82.7475
2017-02-02	82.68700000000001	82.73700000000001	81.54	82.13850000000001	82.079	2421	82.13850000000001
2017-02-03	82.98700000000001	82.98700000000001	80.992	81.9895	81.291	3901	81.9895
2017-02-06	81.75	83.475	81.291	82.383	81.291	3566	82.383
2017-02-07	81.491	81.491	78.957	80.22399999999999	79.845	5071	80.22399999999999
2017-02-08	79.765	81.281	78.89699999999999	80.089	81.281	4911	80.089
2017-02-09	81.281	84.95200000000001	80.124	82.53800000000001	83.785	8658	82.53800000000001
2017-02-10	83.785	84.28299999999999	83.38600000000001	83.83449999999999	83.685	1321	83.83449999999999
2017-02-13	83.785	83.785	82.777	83.281	82.787	1546	83.281
2017-02-14	82.787	82.787	81.34100000000001	82.06400000000001	81.78	2057	82.06400000000001
2017-02-15	82.039	82.189	81.301	81.745	81.87	2672	81.745
2017-02-16	82.87700000000001	82.98700000000001	79.725	81.356	81.78	10659	81.356
2017-02-17	82.38799999999999	82.38799999999999	80.792	81.59	80.792	4819	81.59
2017-02-20	81.092	83.785	79.964	81.8745	80.982	18356	81.8745
2017-02-21	80.792	81.131	80.024	80.5775	80.992	8408	80.5775
2017-02-22	80.982	82.288	80.792	81.53999999999999	82.288	2884	81.53999999999999
2017-02-23	83.785	83.785	82.398	83.0915	83.685	2255	83.0915
2017-02-24	83.775	84.383	82.38799999999999	83.3855	84.383	3470	83.3855
2017-02-27	83.685	84.383	82.169	83.276	83.066	4584	83.276
2017-02-28	82.288	83.785	82.288	83.03649999999999	83.785	3595	83.03649999999999
2017-03-01	83.685	83.685	83.346	83.5155	83.685	5695	83.5155
2017-03-02	83.695	85.779	82.79700000000001	84.28800000000001	85.171	6031	84.28800000000001
2017-03-03	84.383	85.281	83.805	84.543	85.23100000000001	2725	84.543
2017-03-06	85.271	85.271	83.834	84.55250000000001	84.42299999999999	707	84.55250000000001
2017-03-07	84.26299999999999	84.383	82.29799999999999	83.34049999999999	82.787	15403	83.34049999999999
2017-03-08	82.787	83.086	80.812	81.949	81.181	14775	81.949
2017-03-09	81.062	81.062	77.93	79.49600000000001	78.827	6027	79.49600000000001
2017-03-10	78.847	83.785	78.847	81.316	81.15100000000001	5952	81.316
2017-03-13	83.775	84.28299999999999	82.029	83.15599999999999	83.585	20527	83.15599999999999
2017-03-14	84.69200000000001	84.69200000000001	83.037	83.8645	83.705	21007	83.8645
2017-03-15	83.705	84.573	82.807	83.69	83.27600000000001	21202	83.69
2017-03-16	83.286	83.286	83.086	83.186	83.286	3212	83.186
2017-03-17	83.286	83.286	83.166	83.226	83.206	9920	83.226
2017-03-20	83.755	84.573	82.787	83.68	82.787	50197	83.68
2017-03-21	83.286	83.286	80.314	81.8	81.79	25528	81.8
2017-03-22	81.79	81.79	79.845	80.8175	81.291	4856	80.8175
2017-03-23	81.79	81.79	80.314	81.05199999999999	81.291	5464	81.05199999999999
2017-03-24	80.792	81.291	79.785	80.538	80.77199999999999	1978	80.538
2017-03-27	78.807	79.595	78.807	79.201	79.396	1973	79.201
2017-03-28	79.396	81.65	79.396	80.523	79.49600000000001	1775	80.523
2017-03-29	79.795	81.54	79.795	80.6675	80.543	3451	80.6675
2017-03-30	79.795	81.082	79.795	80.4385	80.792	9138	80.4385
2017-03-31	79.845	82.139	79.845	80.99199999999999	81.84	2114	80.99199999999999
2017-04-03	81.57	81.8	80.752	81.276	81.8	945	81.276
2017-04-04	79.964	81.23100000000001	79.007	80.119	79.795	2534	80.119
2017-04-05	79.805	82.139	79.805	80.97200000000001	80.792	4662	80.97200000000001
2017-04-06	80.523	81.331	80.294	80.8125	80.792	1007	80.8125
2017-04-07	81.181	81.79	80.363	81.07650000000001	81.79	3507	81.07650000000001
2017-04-10	80.792	81.59	79.097	80.3435	79.097	3509	80.3435
2017-04-11	79.107	80.992	77.59100000000001	79.29150000000001	77.59100000000001	3160	79.29150000000001
2017-04-12	77.78	79.286	77.78	78.533	78.259	4670	78.533
2017-04-13	78.289	79.585	78.289	78.937	79.585	1048	78.937
2017-04-18	78.44800000000001	79.486	78.44800000000001	78.96700000000001	79.286	1598	78.96700000000001
2017-04-19	78.289	79.236	77.93	78.583	78.289	8366	78.583
2017-04-20	78.249	79.745	77.81	78.7775	79.745	3364	78.7775
2017-04-21	79.795	83.575	79.795	81.685	81.76	30718	81.685
2017-04-24	83.416	83.416	81.98899999999999	82.70249999999999	82.787	3108	82.70249999999999
2017-04-25	81.291	81.79	76.104	78.947	81.79	231416	78.947
2017-04-26	81.79	81.79	78.12899999999999	79.95949999999999	78.777	16210	79.95949999999999
2017-04-27	78.997	80.782	78.408	79.595	79.097	38783	79.595
2017-04-28	79.097	80.46300000000001	78.398	79.4305	79.047	6401	79.4305
2017-05-02	79.795	81.56	79.795	80.67750000000001	81.56	8792	80.67750000000001
2017-05-04	81.291	81.78	79.675	80.72749999999999	79.675	2514	80.72749999999999
2017-05-05	80.443	80.443	78.797	79.62	79.27600000000001	2789	79.62
2017-05-08	79.03699999999999	80.294	78.69800000000001	79.49600000000001	78.797	1310	79.49600000000001
2017-05-09	78.89699999999999	79.735	76.60300000000001	78.16900000000001	77.8	6354	78.16900000000001
2017-05-10	78.578	78.578	77.142	77.86	77.561	30816	77.86
2017-05-11	77.561	77.7	75.805	76.7525	77.301	4038	76.7525
2017-05-12	77.8	78.29899999999999	76.663	77.481	76.982	56737	77.481
2017-05-15	76.803	77.102	75.955	76.52850000000001	76.214	3442	76.52850000000001
2017-05-16	75.875	76.803	75.875	76.339	75.955	7420	76.339
2017-05-17	75.805	77.002	75.35600000000001	76.179	77.002	4513	76.179
2017-05-18	77.002	78.797	75.825	77.311	78.797	6102	77.311
2017-05-19	77.62	78.279	77.431	77.85499999999999	77.431	842	77.85499999999999
2017-05-22	77.431	79.595	77.351	78.473	79.595	1884	78.473
2017-05-23	79.5954	79.5954	77.40100000000001	78.4982	77.8	1041	78.4982
2017-05-24	78.0	79.75	76.8	78.275	79.45	21106	78.275
2017-05-25	79.3	79.3	78.2	78.75	79.19	4692	78.75
2017-05-26	79.75	79.75	78.3	79.025	78.5	989	79.025
2017-05-29	78.5	78.61	77.29	77.95	77.4	81752	77.95
2017-05-30	77.5	77.64	76.7	77.17	77.45	91769	77.17
2017-05-31	77.0	78.0	76.82	77.41	78.0	6589	77.41
2017-06-01	77.5	77.69	75.75	76.72	76.5	34301	76.72
2017-06-02	77.45	78.99	76.85	77.91999999999999	76.85	36404	77.91999999999999
2017-06-05	76.15	77.01	76.15	76.58000000000001	76.9	6296	76.58000000000001
2017-06-06	76.21	76.88	76.21	76.54499999999999	76.88	53420	76.54499999999999
2017-06-07	76.88	77.2	76.5	76.85	76.6	690	76.85
2017-06-08	76.5	76.59	76.37	76.48	76.4	945	76.48
2017-06-09	76.5	76.9	76.5	76.7	76.9	859	76.7
2017-06-12	76.9	76.9	76.51	76.70500000000001	76.9	663	76.70500000000001
2017-06-13	76.54	77.08	76.54	76.81	76.9	749	76.81
2017-06-14	76.66	77.0	75.99	76.495	77.0	3547	76.495
2017-06-16	76.61	78.5	76.6	77.55	78.5	533	77.55
